REE.MC;Red Electrica Corporacion, S.A.;18,06;0,01;0,0006;1.503.205
BBVA.MC;Banco Bilbao Vizcaya Argentaria, S.A.;4,733;0,01;0,0021;22.491.433
TL5.MC;Mediaset Espana Comunicacion, S.A.;5,46;-0,02;-0,33%;406.347
IBE.MC;Iberdrola, S.A.;9,18;-0,03;-0,35%;9.736.250
ANA.MC;Acciona, S.A.;93,1;-0,35;-0,37%;57.325
SAN.MC;Banco Santander, S.A.;3,61;0,016;0,0045;157.399.834
MRL.MC;MERLIN Properties SOCIMI, S.A.;13,13;-0,07;-0,53%;468.875
TEF.MC;Telefónica, S.A.;6,91;0,04;0,0057;5.929.103
ELE.MC;Endesa, Sociedad Anonima;24,25;-0,15;-0,61%;761.744
VIS.MC;Viscofan, S.A.;48,88;0,3;0,0062;69.356
SAB.MC;Banco de Sabadell, S.A.;0,9934;0,0096;0,0098;21.029.226
CLNX.MC;Cellnex Telecom, S.A.;38,26;-0,4;-1,03%;456.008
ITX.MC;Industria de Diseno Textil, S.A.;28,24;0,29;0,0104;11.607.423
ENG.MC;Enagas, S.A.;21,93;-0,26;-1,17%;870.233
MAP.MC;Mapfre, S.A.;2,531;0,031;0,0124;2.800.093
ACS.MC;ACS, Actividades de Construccion y Servicios, S.A.;36,85;0,46;0,0126;1.580.824
AMS.MC;Amadeus IT Group, S.A.;67,18;0,84;0,0127;410.410
COL.MC;Inmobiliaria Colonial, SOCIMI, S.A.;11,43;-0,15;-1,30%;336.745
BKT.MC;Bankinter, S.A.;6,29;0,09;0,0148;2.194.920
NTGY.MC;Naturgy Energy Group, S.A.;24,01;-0,4;-1,64%;2.602.780
AENA.MC;Aena S.M.E., S.A.;167,4;2,9;0,0176;148.996
MEL.MC;Melia Hotels International, S.A.;7,43;0,13;0,0178;431.335
GRF.MC;Grifols, S.A.;29,4;0,52;0,018;567.262
FER.MC;Ferrovial, S.A.;27,01;0,55;0,0208;1.718.828
IAG.MC;International Consolidated Airlines Group, S.A.;6,29;0,13;0,0214;2.179.392
SGRE.MC;Siemens Gamesa Renewable Energy, S.A.;12,64;0,32;0,0256;1.790.477
ACX.MC;Acerinox, S.A.;8,62;0,24;0,0284;810.098
CABK.MC;CaixaBank, S.A.;2,649;0,084;0,0327;19.228.078
ENC.MC;ENCE Energia y Celulosa, S.A.;3,714;0,184;0,0521;2.081.989
MTS.MC;ArcelorMittal;14,04;0,82;0,0622;1.051.098
