ticker;Previous Close;Open;Bid;Ask;Day's Range;52 Week Range;Volume;Avg. Volume;Market Cap;Beta (3Y Monthly);PE Ratio (TTM);EPS (TTM);Earnings Date;Forward Dividend & Yield;Ex-Dividend Date;1y Target Est
REE.MC;18.05;18.08;17.95 x 0;18.18 x 0;17.94 - 18.16;16.74 - 20.48;1,503,205;1,516,679;9.749B;0.44;13.67;1.32;Oct 30, 2019;0.98 (5.45%);2020-01-03;18.10
BBVA.MC;4.7230;4.7200;4.7100 x 0;4.7470 x 0;4.6305 - 4.7380;4.1870 - 5.6790;22,491,433;36,701,411;31.559B;1.89;7.38;0.6410;Jan 31, 2020;0.26 (5.50%);2019-04-08;7.54
TL5.MC;5.48;5.45;5.38 x 0;5.47 x 0;5.37 - 5.48;5.09 - 7.15;406,347;943,805;1.685B;1.03;8.28;0.66;Oct 30, 2019;0.32 (5.84%);2019-04-26;9.81
IBE.MC;9.21;9.26;9.13 x 0;9.19 x 0;9.14 - 9.26;6.27 - 9.58;9,736,250;15,729,808;55.882B;0.71;17.15;0.54;Oct 30, 2019;0.37 (3.99%);2020-01-09;7.13
ANA.MC;93.45;93.10;92.00 x 0;94.00 x 0;92.80 - 93.90;71.80 - 106.60;57,325;78,378;5.047B;1.13;17.06;5.46;Nov 7, 2019;3.52 (3.77%);2019-06-27;82.20
SAN.MC;3.5940;3.6000;3.6100 x N/A;3.6280 x N/A;3.5615 - 3.6340;3.3855 - 4.6820;157,399,834;74,459,220;59.991B;1.52;11.76;0.3070;Jan 29, 2020;0.23 (6.40%);2019-10-30;N/A
MRL.MC;13.20;13.26;12.95 x 0;13.29 x 0;13.12 - 13.32;10.50 - 13.57;468,875;868,982;6.101B;0.55;9.58;1.37;Nov 14, 2019;0.50 (3.79%);2019-10-18;12.98
TEF.MC;6.88;6.90;6.88 x 0;6.95 x 0;6.86 - 6.94;5.86 - 8.06;5,931,123;17,266,813;35.897B;1.07;11.45;0.60;Nov 5, 2019;0.40 (5.82%);2019-12-17;9.74
ELE.MC;24.40;24.41;23.99 x 0;24.29 x 0;23.97 - 24.44;18.52 - 24.51;761,744;997,510;25.675B;0.60;17.82;1.36;Nov 5, 2019;1.43 (5.85%);2019-06-28;20.18
VIS.MC;48.58;48.92;48.06 x 0;49.00 x 0;48.60 - 49.10;40.12 - 56.55;69,356;113,594;2.273B;0.29;21.10;2.32;Oct 24, 2019;1.90 (3.91%);2019-06-04;53.32
SAB.MC;0.9838;0.9842;0.9730 x 0;0.9980 x 0;0.9732 - 0.9980;0.7140 - 1.3500;21,029,226;30,254,414;5.5B;1.66;6.76;0.1470;Jan 30, 2020 - Feb 3, 2020;0.03 (3.05%);2019-12-20;1.85
CLNX.MC;38.66;38.68;37.80 x 0;39.00 x 0;38.23 - 38.94;18.89 - 42.05;456,008;960,731;12.199B;0.61;627.21;0.06;Jul 26, 2019;0.08 (0.22%);2019-07-08;23.19
ITX.MC;27.95;28.03;27.85 x N/A;28.26 x N/A;27.95 - 28.41;21.85 - 29.00;11,607,423;5,707,044;87.931B;1.02;24.54;1.15;Dec 11, 2019;0.66 (2.36%);2019-10-31;N/A
ENG.MC;22.19;22.27;21.87 x 0;22.20 x 0;21.84 - 22.32;18.80 - 27.22;870,233;1,217,650;5.224B;0.62;11.82;1.86;Oct 22, 2019;1.84 (8.27%);2019-07-01;24.16
MAP.MC;2.5000;2.5150;2.5300 x 0;2.5350 x 0;2.4970 - 2.5430;2.2520 - 2.7490;2,800,093;3,790,741;7.726B;0.87;16.99;0.1490;Oct 31, 2019;0.17 (6.86%);2019-06-21;2.92
ACS.MC;36.39;36.54;36.00 x 0;36.90 x 0;36.20 - 36.85;31.40 - 40.97;1,580,824;762,538;11.665B;1.00;11.52;3.20;Nov 7, 2019;1.90 (5.22%);2019-06-24;38.24
AMS.MC;66.34;66.60;64.00 x 0;67.84 x 0;66.46 - 67.22;58.06 - 74.94;410,410;933,180;28.928B;0.29;28.29;2.38;Nov 7, 2019;1.33 (2.00%);2019-07-10;62.13
